latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-36.22846,-72.32266,333.3,0.46,0.39,2026-08-08,1836,N,VIIRS,n,2.0NRT,283.18,4.39,D
-36.22926,-72.32644,301.98,0.39,0.36,2026-08-09,555,N,VIIRS,n,2.0NRT,274.36,0.63,N
-36.22593,-72.32558,297.83,0.39,0.36,2026-08-09,555,N,VIIRS,n,2.0NRT,274.63,0.63,N
-36.22745,-72.32536,330.3,0.65,0.73,2026-08-09,1957,N,VIIRS,n,2.0NRT,283.0,5.48,D
-36.23138,-72.3403,344.82,0.48,0.64,2026-08-10,1758,N,VIIRS,n,2.0NRT,286.63,6.29,D
-37.69919,-72.14493,350.35,0.41,0.45,2026-08-11,1919,N,VIIRS,n,2.0NRT,290.78,7.74,D
-37.69824,-72.14368,349.47,0.41,0.45,2026-08-11,1919,N,VIIRS,n,2.0NRT,289.53,6.8,D
-36.22829,-72.3313,337.64,0.43,0.46,2026-08-11,1919,N,VIIRS,n,2.0NRT,286.07,5.71,D
-36.2252,-72.33765,343.5,0.43,0.46,2026-08-11,1919,N,VIIRS,n,2.0NRT,287.22,9.9,D
-36.22414,-72.33283,341.43,0.43,0.46,2026-08-11,1919,N,VIIRS,n,2.0NRT,287.98,5.71,D
-37.84921,-72.24241,329.66,0.4,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,288.98,4.73,D
-37.84581,-72.24332,328.45,0.4,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,287.2,4.73,D
-37.81528,-72.314,356.25,0.4,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,294.91,11.57,D
-37.81449,-72.30942,339.52,0.4,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,288.88,11.57,D
-37.81187,-72.31492,338.72,0.4,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,289.42,5.6,D
-37.69596,-72.15206,333.79,0.41,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,291.23,3.85,D
-37.69335,-72.15761,326.68,0.41,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,287.24,3.44,D
-37.69255,-72.15301,339.4,0.41,0.37,2026-08-12,1900,N,VIIRS,n,2.0NRT,290.24,3.85,D
-36.82044,-71.80005,340.36,0.42,0.38,2026-08-12,1900,N,VIIRS,n,2.0NRT,292.23,10.5,D
-36.8178,-71.80568,335.25,0.42,0.38,2026-08-12,1900,N,VIIRS,n,2.0NRT,290.52,4.11,D
-36.81697,-71.80097,367.0,0.42,0.38,2026-08-12,1900,N,VIIRS,h,2.0NRT,291.46,10.5,D
-36.5695,-71.65585,333.48,0.43,0.38,2026-08-12,1900,N,VIIRS,n,2.0NRT,289.96,11.63,D
-36.36874,-72.34798,356.68,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,288.03,6.82,D
-36.36531,-72.34889,342.61,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,288.95,6.34,D
-36.32368,-72.39852,325.57,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,287.25,1.54,D
-36.22714,-72.32626,345.69,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,289.5,6.36,D
-36.22371,-72.32722,351.84,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,287.94,5.9,D
-36.22028,-72.3282,338.97,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,286.72,5.9,D
-36.21947,-72.32357,334.81,0.41,0.37,2026-08-12,1902,N,VIIRS,n,2.0NRT,284.36,5.08,D
-36.22143,-72.3251,300.38,0.54,0.42,2026-08-13,622,N,VIIRS,n,2.0NRT,275.22,1.36,N
-36.22031,-72.32551,296.54,0.54,0.42,2026-08-13,622,N,VIIRS,n,2.0NRT,275.93,1.4,N
-37.88372,-72.80096,342.48,0.4,0.37,2026-08-18,1847,N,VIIRS,n,2.0NRT,292.99,12.87,D
-37.88308,-72.79639,339.7,0.4,0.37,2026-08-18,1847,N,VIIRS,n,2.0NRT,287.17,12.76,D
-37.8803,-72.80164,352.1,0.4,0.37,2026-08-18,1847,N,VIIRS,n,2.0NRT,288.42,12.87,D
-37.8074,-72.26282,332.71,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,287.84,3.75,D
-37.80676,-72.25834,330.11,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,287.87,3.75,D
-37.78607,-72.3325,329.58,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,290.39,6.98,D
-37.7827,-72.33327,329.68,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,290.18,4.9,D
-37.78205,-72.32878,340.83,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,292.14,4.9,D
-37.49244,-72.4924,329.79,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,290.55,3.51,D
-37.32058,-71.8883,339.78,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,288.75,4.4,D
-36.33012,-72.83463,344.77,0.39,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,292.96,5.78,D
-35.61264,-71.61994,330.09,0.38,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,292.62,2.85,D
-35.61198,-71.61568,329.9,0.38,0.36,2026-08-18,1847,N,VIIRS,n,2.0NRT,293.42,2.85,D
-36.10112,-72.55149,295.0,0.4,0.37,2026-08-19,608,N,VIIRS,n,2.0NRT,279.23,0.52,N
-37.80748,-72.25957,330.35,0.42,0.38,2026-08-19,610,N,VIIRS,n,2.0NRT,277.71,2.56,N
-37.80684,-72.2644,296.18,0.42,0.38,2026-08-19,610,N,VIIRS,n,2.0NRT,276.05,1.28,N
-39.09383,-72.50058,340.41,0.39,0.44,2026-08-19,1828,N,VIIRS,n,2.0NRT,288.95,3.28,D
-39.09171,-72.49911,338.07,0.39,0.44,2026-08-19,1828,N,VIIRS,n,2.0NRT,287.48,3.7,D
-37.88346,-71.98666,347.2,0.54,0.42,2026-08-19,1830,N,VIIRS,n,2.0NRT,294.97,11.55,D
-37.88204,-72.08517,331.04,0.55,0.42,2026-08-19,1830,N,VIIRS,n,2.0NRT,290.92,5.34,D
-37.88171,-71.992,329.38,0.54,0.42,2026-08-19,1830,N,VIIRS,n,2.0NRT,290.81,6.57,D
-37.88104,-71.98556,337.7,0.54,0.42,2026-08-19,1830,N,VIIRS,n,2.0NRT,290.64,6.57,D
-37.8424,-72.4082,337.06,0.57,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,307.44,91.25,D
-37.83837,-72.40894,339.05,0.57,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,299.58,34.23,D
-37.83773,-72.40251,328.81,0.57,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,289.17,16.22,D
-37.77267,-72.13693,342.26,0.55,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,294.96,7.08,D
-37.76937,-72.14395,342.56,0.55,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,295.58,12.96,D
-37.04779,-72.88546,331.54,0.39,0.44,2026-08-19,1830,N,VIIRS,n,2.0NRT,290.3,2.69,D
-36.82331,-71.80102,335.16,0.52,0.41,2026-08-19,1830,N,VIIRS,n,2.0NRT,294.79,12.07,D
-36.82265,-71.79505,344.05,0.52,0.41,2026-08-19,1830,N,VIIRS,n,2.0NRT,292.47,12.07,D
-36.81945,-71.80174,339.56,0.52,0.41,2026-08-19,1830,N,VIIRS,n,2.0NRT,294.77,12.07,D
-36.8188,-71.79577,346.43,0.52,0.41,2026-08-19,1830,N,VIIRS,n,2.0NRT,292.77,12.07,D
-36.22618,-71.73605,331.96,0.51,0.41,2026-08-19,1830,N,VIIRS,n,2.0NRT,295.55,7.83,D
-36.20499,-72.76931,329.58,0.56,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,287.68,4.24,D
-36.00543,-72.6651,328.6,0.56,0.43,2026-08-19,1830,N,VIIRS,n,2.0NRT,289.43,5.5,D
-39.07829,-72.15066,327.32,0.77,0.78,2026-08-19,2008,N,VIIRS,n,2.0NRT,277.11,6.45,D
-39.07782,-72.14764,331.13,0.78,0.78,2026-08-19,2008,N,VIIRS,n,2.0NRT,276.67,5.26,D
-37.88105,-72.09068,310.39,0.4,0.37,2026-08-20,550,N,VIIRS,n,2.0NRT,275.83,1.23,N
-36.5773,-72.79967,329.5,0.34,0.56,2026-08-20,1811,N,VIIRS,n,2.0NRT,283.45,4.92,D
-36.57707,-72.79586,351.25,0.34,0.56,2026-08-20,1811,N,VIIRS,n,2.0NRT,284.73,6.76,D
-36.57335,-72.79996,353.2,0.34,0.56,2026-08-20,1811,N,VIIRS,n,2.0NRT,285.47,6.12,D
-36.57309,-72.79605,328.38,0.34,0.56,2026-08-20,1811,N,VIIRS,n,2.0NRT,283.05,6.27,D
-36.57201,-72.80031,338.1,0.34,0.56,2026-08-20,1811,N,VIIRS,n,2.0NRT,284.0,3.72,D
-35.84735,-72.46516,330.89,0.32,0.55,2026-08-20,1811,N,VIIRS,n,2.0NRT,289.44,4.57,D
-35.8419,-72.46142,367.0,0.32,0.55,2026-08-20,1811,N,VIIRS,h,2.0NRT,292.23,4.57,D
-35.72126,-72.37967,331.44,0.64,0.54,2026-08-20,1811,N,VIIRS,n,2.0NRT,288.02,3.06,D
-36.82527,-71.79874,331.83,0.56,0.69,2026-08-20,1949,N,VIIRS,n,2.0NRT,289.67,6.53,D
-36.81794,-71.79598,341.77,0.56,0.69,2026-08-20,1949,N,VIIRS,n,2.0NRT,288.58,9.68,D
-36.81722,-71.79513,332.37,0.56,0.69,2026-08-20,1949,N,VIIRS,n,2.0NRT,287.78,6.53,D
-36.57566,-72.80073,325.12,0.5,0.66,2026-08-20,1949,N,VIIRS,n,2.0NRT,287.06,5.39,D
-36.57397,-72.7949,349.94,0.51,0.66,2026-08-20,1949,N,VIIRS,n,2.0NRT,288.76,5.39,D
-36.44922,-71.9215,326.95,0.56,0.69,2026-08-20,1949,N,VIIRS,n,2.0NRT,288.03,4.97,D
-35.84644,-72.46027,331.02,0.55,0.68,2026-08-20,1951,N,VIIRS,n,2.0NRT,288.97,5.18,D
-37.8004,-72.29073,367.0,0.59,0.7,2026-08-21,1752,N,VIIRS,h,2.0NRT,293.06,14.9,D
-37.79709,-72.29158,367.0,0.59,0.7,2026-08-21,1752,N,VIIRS,h,2.0NRT,298.4,17.38,D
-37.79692,-72.28497,331.03,0.59,0.7,2026-08-21,1752,N,VIIRS,n,2.0NRT,286.55,17.38,D
